subject,si_n,si_yes1,si_pyes1,si_yes2,si_pyes2,di_n,di_yes1,di_pyes1,di_yes2,di_pyes2,int_n,int_yes1,int_pyes1,int_yes2,int_pyes2,ip_n,ip_yes1,ip_pyes1,ip_yes2,ip_pyes2,pi_n,pi_yes1,pi_pyes1,pi_yes2,pi_pyes2,nrl_n,nrl_yes1,nrl_pyes1,nrl_yes2,nrl_pyes2,rl_n,rl_yes1,rl_pyes1,rl_yes2,rl_pyes2,target_n_total,pi_pyes1_as_stored_in_file,resolution
11,5,5,1.0,3,0.6,5,4,0.8,3,0.6,1,1,1.0,1,1.0,8,7,0.875,7,0.875,6.0,6.0,1.0,5.0,0.8333333333333334,29,6,0.206897,3,0.103448,3,1,0.3333333333333333,1,0.3333333333333333,25.0,1.0,A: sum(n)=25 and rl identity satisfied
12,4,2,0.5,3,0.75,5,2,0.4,1,0.2,2,1,0.5,2,1.0,8,4,0.5,5,0.625,,,,,,29,1,0.034483,0,0.0,3,1,0.3333333333333333,1,0.3333333333333333,19.0,0.666667,C: fell back to per-condition solve
13,4,4,1.0,4,1.0,6,5,0.8333333333333334,5,0.8333333333333334,2,2,1.0,1,0.5,7,7,1.0,7,1.0,6.0,6.0,1.0,6.0,1.0,29,0,0.0,1,0.034483,3,0,0.0,0,0.0,25.0,1.0,A: sum(n)=25 and rl identity satisfied
14,5,3,0.6,5,1.0,5,4,0.8,2,0.4,1,1,1.0,0,0.0,8,5,0.625,7,0.875,6.0,5.0,0.8333333333333334,4.0,0.6666666666666666,29,2,0.068966,7,0.241379,3,0,0.0,0,0.0,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
15,4,4,1.0,4,1.0,6,5,0.8333333333333334,6,1.0,3,3,1.0,3,1.0,8,8,1.0,8,1.0,4.0,4.0,1.0,4.0,1.0,30,0,0.0,0,0.0,2,0,0.0,0,0.0,25.0,1.0,A: sum(n)=25 and rl identity satisfied
16,4,2,0.5,2,0.5,5,4,0.8,5,1.0,3,3,1.0,3,1.0,8,7,0.875,7,0.875,5.0,5.0,1.0,3.0,0.6,30,0,0.0,0,0.0,2,0,0.0,0,0.0,25.0,1.0,A: sum(n)=25 and rl identity satisfied
17,6,2,0.3333333333333333,4,0.6666666666666666,5,2,0.4,3,0.6,2,2,1.0,2,1.0,7,4,0.5714285714285714,4,0.5714285714285714,5.0,4.0,0.8,3.0,0.6,29,2,0.068966,1,0.034483,1,0,0.0,0,0.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
18,4,4,1.0,4,1.0,5,5,1.0,5,1.0,2,2,1.0,2,1.0,8,5,0.625,8,1.0,6.0,6.0,1.0,6.0,1.0,29,1,0.034483,4,0.137931,3,0,0.0,2,0.6666666666666666,25.0,1.0,A: sum(n)=25 and rl identity satisfied
19,6,5,0.8333333333333334,5,0.8333333333333334,5,5,1.0,5,1.0,2,2,1.0,2,1.0,7,7,1.0,6,0.8571428571428571,5.0,4.0,0.8,5.0,1.0,29,3,0.103448,3,0.103448,1,0,0.0,0,0.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
20,5,4,0.8,4,0.8,5,4,0.8,5,1.0,3,3,1.0,3,1.0,7,6,0.8571428571428571,7,1.0,5.0,5.0,1.0,4.0,0.8,29,0,0.0,1,0.034483,1,0,0.0,0,0.0,25.0,1.0,A: sum(n)=25 and rl identity satisfied
21,4,4,1.0,4,1.0,6,6,1.0,6,1.0,2,2,1.0,2,1.0,7,7,1.0,7,1.0,6.0,6.0,1.0,6.0,1.0,30,0,0.0,0,0.0,3,0,0.0,0,0.0,25.0,1.0,A: sum(n)=25 and rl identity satisfied
22,5,3,0.6,4,0.8,5,4,0.8,3,0.6,2,2,1.0,2,1.0,8,7,0.875,6,0.75,,,,,,29,2,0.068966,4,0.137931,2,0,0.0,0,0.0,20.0,1.0,C: fell back to per-condition solve
23,5,4,0.8,3,0.6,4,2,0.5,2,0.5,3,2,0.6666666666666666,2,0.6666666666666666,8,6,0.75,8,1.0,5.0,2.0,0.4,3.0,0.6,29,3,0.103448,3,0.103448,1,0,0.0,0,0.0,25.0,0.4,A: sum(n)=25 and rl identity satisfied
24,7,6,0.8571428571428571,7,1.0,5,5,1.0,4,0.8,3,3,1.0,3,1.0,7,7,1.0,7,1.0,4.0,4.0,1.0,4.0,1.0,30,0,0.0,0,0.0,0,0,,0,,26.0,0.75,C: fell back to per-condition solve
25,6,4,0.6666666666666666,5,0.8333333333333334,6,4,0.6666666666666666,2,0.3333333333333333,1,1,1.0,1,1.0,7,5,0.7142857142857143,6,0.8571428571428571,5.0,5.0,1.0,5.0,1.0,30,0,0.0,1,0.033333,2,0,0.0,0,0.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
26,4,4,1.0,3,0.75,5,5,1.0,2,0.4,3,2,0.6666666666666666,2,0.6666666666666666,9,6,0.6666666666666666,5,0.5555555555555556,4.0,4.0,1.0,4.0,1.0,30,1,0.033333,2,0.066667,2,0,0.0,2,1.0,25.0,0.75,A: sum(n)=25 and rl identity satisfied
27,5,2,0.4,4,0.8,5,5,1.0,3,0.6,3,3,1.0,3,1.0,7,6,0.8571428571428571,7,1.0,5.0,4.0,0.8,4.0,0.8,30,4,0.133333,5,0.166667,1,0,0.0,1,1.0,25.0,0.6,A: sum(n)=25 and rl identity satisfied
28,6,4,0.6666666666666666,5,0.8333333333333334,5,4,0.8,3,0.6,3,3,1.0,3,1.0,8,5,0.625,8,1.0,3.0,3.0,1.0,1.0,0.3333333333333333,30,1,0.033333,0,0.0,0,0,,0,,25.0,0.666667,A: sum(n)=25 and rl identity satisfied
29,6,6,1.0,6,1.0,4,4,1.0,2,0.5,3,2,0.6666666666666666,2,0.6666666666666666,8,7,0.875,7,0.875,4.0,3.0,0.75,2.0,0.5,30,0,0.0,6,0.2,0,0,,0,,25.0,0.5,A: sum(n)=25 and rl identity satisfied
30,4,2,0.5,3,0.75,6,5,0.8333333333333334,2,0.3333333333333333,2,2,1.0,2,1.0,8,7,0.875,6,0.75,5.0,4.0,0.8,3.0,0.6,30,6,0.2,4,0.133333,3,0,0.0,1,0.3333333333333333,25.0,0.6,A: sum(n)=25 and rl identity satisfied
31,5,5,1.0,4,0.8,5,4,0.8,4,0.8,2,2,1.0,2,1.0,8,7,0.875,6,0.75,5.0,5.0,1.0,5.0,1.0,30,0,0.0,1,0.033333,2,0,0.0,0,0.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
32,4,4,1.0,4,1.0,5,3,0.6,4,0.8,3,3,1.0,3,1.0,7,6,0.8571428571428571,7,1.0,6.0,5.0,0.8333333333333334,6.0,1.0,30,3,0.1,4,0.133333,2,0,0.0,1,0.5,25.0,0.666667,A: sum(n)=25 and rl identity satisfied
33,5,5,1.0,5,1.0,6,6,1.0,6,1.0,3,3,1.0,3,1.0,8,8,1.0,8,1.0,3.0,3.0,1.0,3.0,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25.0,0.666667,A: sum(n)=25 and rl identity satisfied
34,6,5,0.8333333333333334,6,1.0,6,6,1.0,5,0.8333333333333334,3,3,1.0,3,1.0,6,5,0.8333333333333334,6,1.0,4.0,4.0,1.0,3.0,0.75,30,0,0.0,0,0.0,0,0,,0,,25.0,0.75,A: sum(n)=25 and rl identity satisfied
35,5,2,0.4,5,1.0,4,4,1.0,4,1.0,2,2,1.0,2,1.0,8,7,0.875,8,1.0,6.0,6.0,1.0,6.0,1.0,30,0,0.0,0,0.0,2,0,0.0,0,0.0,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
36,6,6,1.0,6,1.0,5,5,1.0,3,0.6,2,2,1.0,2,1.0,7,6,0.8571428571428571,7,1.0,5.0,4.0,0.8,5.0,1.0,30,1,0.033333,1,0.033333,1,0,0.0,0,0.0,25.0,0.6,A: sum(n)=25 and rl identity satisfied
37,6,5,0.8333333333333334,5,0.8333333333333334,5,5,1.0,4,0.8,3,3,1.0,3,1.0,6,5,0.8333333333333334,6,1.0,5.0,5.0,1.0,5.0,1.0,30,1,0.033333,1,0.033333,0,0,,0,,25.0,0.8,A: sum(n)=25 and rl identity satisfied
38,5,3,0.6,5,1.0,5,4,0.8,4,0.8,2,2,1.0,2,1.0,7,5,0.7142857142857143,7,1.0,6.0,6.0,1.0,4.0,0.6666666666666666,30,1,0.033333,3,0.1,2,0,0.0,1,0.5,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
39,6,4,0.6666666666666666,4,0.6666666666666666,5,5,1.0,4,0.8,2,2,1.0,2,1.0,8,6,0.75,7,0.875,4.0,4.0,1.0,4.0,1.0,30,2,0.066667,1,0.033333,1,0,0.0,0,0.0,25.0,0.75,A: sum(n)=25 and rl identity satisfied
40,4,3,0.75,4,1.0,6,5,0.8333333333333334,3,0.5,3,3,1.0,2,0.6666666666666666,7,5,0.7142857142857143,6,0.8571428571428571,5.0,4.0,0.8,4.0,0.8,30,7,0.233333,5,0.166667,2,0,0.0,0,0.0,25.0,0.6,A: sum(n)=25 and rl identity satisfied
41,6,6,1.0,5,0.8333333333333334,5,4,0.8,2,0.4,3,2,0.6666666666666666,3,1.0,6,5,0.8333333333333334,6,1.0,5.0,5.0,1.0,4.0,0.8,30,2,0.066667,0,0.0,0,0,,0,,25.0,0.8,A: sum(n)=25 and rl identity satisfied
42,6,5,0.8333333333333334,4,0.6666666666666666,5,4,0.8,3,0.6,2,2,1.0,2,1.0,7,5,0.7142857142857143,5,0.7142857142857143,5.0,5.0,1.0,4.0,0.8,30,3,0.1,0,0.0,1,0,0.0,1,1.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
43,6,4,0.6666666666666666,3,0.5,5,4,0.8,1,0.2,3,2,0.6666666666666666,2,0.6666666666666666,8,6,0.75,4,0.5,3.0,3.0,1.0,1.0,0.3333333333333333,30,4,0.133333,1,0.033333,0,0,,0,,25.0,0.666667,A: sum(n)=25 and rl identity satisfied
44,6,3,0.5,4,0.6666666666666666,3,2,0.6666666666666666,3,1.0,3,2,0.6666666666666666,2,0.6666666666666666,8,7,0.875,7,0.875,5.0,5.0,1.0,5.0,1.0,30,0,0.0,2,0.066667,0,0,,0,,25.0,0.8,A: sum(n)=25 and rl identity satisfied
45,6,6,1.0,5,0.8333333333333334,5,5,1.0,1,0.2,3,3,1.0,3,1.0,6,6,1.0,6,1.0,5.0,5.0,1.0,5.0,1.0,30,4,0.133333,1,0.033333,0,0,,0,,25.0,0.8,A: sum(n)=25 and rl identity satisfied
46,5,4,0.8,4,0.8,4,4,1.0,2,0.5,3,3,1.0,3,1.0,7,7,1.0,6,0.8571428571428571,6.0,6.0,1.0,6.0,1.0,30,1,0.033333,0,0.0,1,0,0.0,0,0.0,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
47,6,4,0.6666666666666666,4,0.6666666666666666,5,4,0.8,1,0.2,1,1,1.0,1,1.0,7,7,1.0,6,0.8571428571428571,6.0,6.0,1.0,4.0,0.6666666666666666,30,1,0.033333,0,0.0,2,0,0.0,0,0.0,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
48,6,6,1.0,6,1.0,6,6,1.0,6,1.0,3,3,1.0,3,1.0,6,6,1.0,6,1.0,4.0,4.0,1.0,4.0,1.0,30,1,0.033333,0,0.0,0,0,,0,,25.0,0.75,A: sum(n)=25 and rl identity satisfied
49,6,5,0.8333333333333334,6,1.0,4,4,1.0,3,0.75,3,3,1.0,3,1.0,8,8,1.0,8,1.0,4.0,4.0,1.0,3.0,0.75,30,1,0.033333,0,0.0,0,0,,0,,25.0,0.75,A: sum(n)=25 and rl identity satisfied
50,4,4,1.0,4,1.0,5,4,0.8,4,0.8,3,3,1.0,3,1.0,8,8,1.0,8,1.0,5.0,5.0,1.0,5.0,1.0,30,0,0.0,1,0.033333,2,0,0.0,0,0.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
51,6,5,0.8333333333333334,5,0.8333333333333334,6,4,0.6666666666666666,6,1.0,2,2,1.0,2,1.0,6,6,1.0,6,1.0,5.0,5.0,1.0,5.0,1.0,30,2,0.066667,0,0.0,1,0,0.0,0,0.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
52,5,4,0.8,3,0.6,5,4,0.8,2,0.4,1,0,0.0,0,0.0,9,7,0.7777777777777778,8,0.8888888888888888,5.0,5.0,1.0,3.0,0.6,30,3,0.1,0,0.0,3,0,0.0,2,0.6666666666666666,25.0,0.8,A: sum(n)=25 and rl identity satisfied
53,4,4,1.0,4,1.0,5,5,1.0,3,0.6,2,2,1.0,2,1.0,8,6,0.75,5,0.625,6.0,6.0,1.0,6.0,1.0,30,4,0.133333,5,0.166667,3,1,0.3333333333333333,3,1.0,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
54,6,4,0.6666666666666666,5,0.8333333333333334,6,5,0.8333333333333334,6,1.0,1,1,1.0,1,1.0,6,4,0.6666666666666666,5,0.8333333333333334,6.0,6.0,1.0,5.0,0.8333333333333334,30,0,0.0,1,0.033333,2,0,0.0,0,0.0,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
55,4,3,0.75,3,0.75,6,5,0.8333333333333334,5,0.8333333333333334,3,2,0.6666666666666666,1,0.3333333333333333,6,5,0.8333333333333334,4,0.6666666666666666,6.0,6.0,1.0,5.0,0.8333333333333334,30,1,0.033333,0,0.0,2,0,0.0,0,0.0,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
56,5,4,0.8,4,0.8,5,5,1.0,4,0.8,2,2,1.0,2,1.0,8,8,1.0,8,1.0,5.0,5.0,1.0,5.0,1.0,30,1,0.033333,1,0.033333,2,0,0.0,0,0.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
57,5,2,0.4,3,0.6,6,6,1.0,6,1.0,3,3,1.0,3,1.0,7,5,0.7142857142857143,7,1.0,4.0,4.0,1.0,4.0,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25.0,0.75,A: sum(n)=25 and rl identity satisfied
58,5,4,0.8,4,0.8,4,4,1.0,4,1.0,3,3,1.0,3,1.0,8,6,0.75,7,0.875,5.0,4.0,0.8,5.0,1.0,30,5,0.166667,3,0.1,1,0,0.0,1,1.0,25.0,0.6,A: sum(n)=25 and rl identity satisfied
59,6,6,1.0,5,0.8333333333333334,6,4,0.6666666666666666,5,0.8333333333333334,2,1,0.5,2,1.0,6,5,0.8333333333333334,5,0.8333333333333334,5.0,4.0,0.8,5.0,1.0,30,4,0.133333,3,0.1,1,0,0.0,0,0.0,25.0,0.6,A: sum(n)=25 and rl identity satisfied
60,6,6,1.0,6,1.0,4,3,0.75,4,1.0,3,3,1.0,3,1.0,6,6,1.0,6,1.0,6.0,6.0,1.0,6.0,1.0,30,6,0.2,6,0.2,0,0,,0,,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
61,3,3,1.0,3,1.0,5,5,1.0,5,1.0,3,3,1.0,3,1.0,8,7,0.875,8,1.0,6.0,6.0,1.0,6.0,1.0,30,1,0.033333,1,0.033333,3,0,0.0,0,0.0,25.0,0.833333,A: sum(n)=25 and rl identity satisfied
62,4,4,1.0,4,1.0,5,3,0.6,3,0.6,3,3,1.0,3,1.0,8,5,0.625,6,0.75,5.0,5.0,1.0,4.0,0.8,30,0,0.0,0,0.0,2,1,0.5,2,1.0,25.0,0.8,A: sum(n)=25 and rl identity satisfied
63,4,4,1.0,4,1.0,5,5,1.0,5,1.0,3,3,1.0,3,1.0,8,8,1.0,8,1.0,4.0,4.0,1.0,4.0,1.0,30,1,0.033333,0,0.0,1,0,0.0,0,0.0,24.0,0.75,C: fell back to per-condition solve
